Feature,Importance
WILLR_14,0.18459308
BBP_20_2.0_2.0,0.06693158
total_vol,0.061365206
NATR_14,0.05161316
ask_vol,0.04947856
bid_vol,0.041504387
MOM_10,0.039859265
STOCHh_14_3_3,0.030400407
STOCHRSIk_14_14_3_3,0.029361205
BBB_20_2.0_2.0,0.021220878
AROOND_14,0.020415584
UI_14,0.019557767
PVI,0.017374467
ATRr_14,0.017276414
MACDh_12_26_9,0.01651325
AROONU_14,0.016001776
ZS_30,0.014153489
ROC_12,0.012963102
RSI_14,0.011976986
CKSPs_10_3_20,0.011386568
DMP_14,0.011012029
DMN_14,0.0108581055
HMA_9,0.00990543
STOCHRSId_14_14_3_3,0.009342405
VAR_30,0.008935472
AROONOSC_14,0.0086456165
EMA_10,0.008569452
delta_vol,0.008148677
MAD_30,0.007848836
cvd,0.0067090304
TSI_13_25_13,0.0066720503
TRIXs_30_9,0.0065231053
MACD_12_26_9,0.0063960687
STOCHk_14_3_3,0.0062843477
AO_5_34,0.006262509
MFI_14,0.0058523673
AD,0.0056586512
TEMA_9,0.0056584566
CKSPl_10_3_20,0.0056188707
EMA_50,0.0055699013
MACDs_12_26_9,0.005512949
UO_7_14_28,0.005497587
DPO_20,0.0054602246
NVI_1,0.005342964
KURT_30,0.005284048
EMA_20,0.005266046
EMA_100,0.0051929317
PVIe_255,0.00514905
VTXP_14,0.004997644
TRIX_30_9,0.004901073
EOM_14_100000000,0.0047776694
last_funding_rate,0.0046932376
ENTP_30,0.004669025
OBV,0.0046124714
VTXM_14,0.004552735
TSIs_13_25_13,0.004536982
SKEW_30,0.0044639055
CCI_14_0.015,0.004348623
avg_ask_vol,0.004282727
CMF_20,0.004233932
ADXR_14_2,0.003997003
SMA_200,0.003638469
ADX_14,0.003616269
avg_bid_vol,0.0026555131
max_ask_vol,0.0024093185
max_bid_vol,0.0014889264
STOCHd_14_3_3,0.0
